iter	Passed	Remaining
0	188	225722
1	205	123299
2	226	90522
3	247	73891
4	267	64018
5	288	57343
6	308	52644
7	325	48524
8	346	45835
9	354	42218
10	375	40599
11	397	39380
12	418	38182
13	439	37198
14	460	36345
15	480	35581
16	502	34948
17	522	34324
18	543	33765
19	563	33256
20	584	32798
21	590	31602
22	610	31256
23	631	30928
24	650	30580
25	670	30291
26	691	30027
27	707	29608
28	726	29354
29	746	29123
30	751	28349
31	772	28191
32	792	28043
33	812	27879
34	833	27736
35	856	27702
36	877	27570
37	898	27470
38	919	27359
39	939	27249
40	961	27168
41	978	26986
42	1009	27151
43	1033	27140
44	1053	27048
45	1079	27092
46	1103	27058
47	1127	27058
48	1148	26982
49	1174	27003
50	1194	26920
51	1215	26842
52	1236	26751
53	1255	26652
54	1275	26560
55	1295	26472
56	1316	26394
57	1335	26297
58	1355	26209
59	1376	26150
60	1396	26084
61	1417	26009
62	1436	25928
63	1456	25849
64	1476	25779
65	1496	25713
66	1517	25656
67	1537	25591
68	1560	25583
69	1575	25437
70	1599	25427
71	1620	25392
72	1641	25340
73	1662	25291
74	1682	25232
75	1702	25180
76	1724	25148
77	1744	25089
78	1763	25024
79	1783	24965
80	1803	24913
81	1823	24868
82	1845	24836
83	1870	24853
84	1884	24717
85	1907	24706
86	1930	24696
87	1953	24682
88	1975	24655
89	1997	24633
90	2017	24590
91	2040	24577
92	2060	24532
93	2082	24496
94	2102	24455
95	2119	24370
96	2139	24330
97	2160	24292
98	2180	24249
99	2201	24221
100	2224	24200
101	2245	24167
102	2265	24130
103	2286	24099
104	2306	24056
105	2326	24014
106	2346	23972
107	2367	23936
108	2387	23898
109	2408	23861
110	2428	23823
111	2447	23777
112	2468	23741
113	2489	23712
114	2509	23677
115	2530	23647
116	2551	23613
117	2570	23574
118	2590	23532
119	2609	23486
120	2629	23446
121	2649	23414
122	2669	23374
123	2689	23336
124	2708	23297
125	2728	23257
126	2748	23218
127	2768	23184
128	2788	23148
129	2808	23112
130	2827	23077
131	2848	23049
132	2868	23010
133	2887	22973
134	2907	22935
135	2926	22897
136	2947	22869
137	2966	22832
138	2986	22798
139	3006	22764
140	3026	22729
141	3046	22700
142	3067	22672
143	3087	22638
144	3106	22605
145	3126	22571
146	3146	22538
147	3166	22508
148	3186	22477
149	3206	22448
150	3226	22416
151	3247	22387
152	3267	22357
153	3288	22333
154	3307	22302
155	3327	22270
156	3348	22242
157	3360	22163
158	3380	22131
159	3400	22102
160	3420	22071
161	3440	22042
162	3460	22013
163	3479	21982
164	3499	21953
165	3512	21878
166	3520	21776
167	3540	21748
168	3560	21722
169	3581	21699
170	3601	21670
171	3620	21639
172	3640	21610
173	3648	21513
174	3668	21487
175	3688	21461
176	3708	21433
177	3728	21407
178	3747	21377
179	3767	21348
180	3787	21324
181	3807	21297
182	3827	21269
183	3847	21244
184	3867	21219
185	3888	21200
186	3908	21173
187	3932	21169
188	3962	21195
189	3983	21172
190	4004	21153
191	4024	21127
192	4044	21101
193	4064	21076
194	4084	21052
195	4104	21024
196	4124	20997
197	4145	20979
198	4165	20954
199	4186	20930
200	4202	20889
201	4222	20863
202	4242	20836
203	4262	20810
204	4282	20786
205	4303	20765
206	4323	20741
207	4343	20715
208	4363	20689
209	4383	20664
210	4403	20641
211	4423	20615
212	4443	20589
213	4463	20563
214	4483	20539
215	4503	20515
216	4523	20490
217	4543	20467
218	4563	20443
219	4584	20422
220	4604	20398
221	4624	20373
222	4644	20347
223	4664	20323
224	4684	20300
225	4706	20284
226	4727	20262
227	4747	20239
228	4767	20215
229	4787	20192
230	4808	20169
231	4827	20144
232	4848	20122
233	4868	20098
234	4888	20074
235	4908	20049
236	4928	20024
237	4948	20002
238	4968	19977
239	4988	19954
240	5008	19929
241	5028	19905
242	5049	19884
243	5068	19859
244	5088	19834
245	5108	19810
246	5128	19788
247	5148	19764
248	5168	19739
249	5188	19716
250	5208	19691
251	5227	19666
252	5250	19651
253	5269	19627
254	5290	19604
255	5309	19578
256	5329	19554
257	5350	19534
258	5369	19509
259	5389	19484
260	5409	19461
261	5429	19439
262	5450	19418
263	5470	19396
264	5490	19371
265	5509	19347
266	5530	19326
267	5550	19303
268	5571	19281
269	5591	19259
270	5611	19237
271	5631	19213
272	5651	19191
273	5672	19170
274	5692	19148
275	5712	19125
276	5732	19101
277	5752	19079
278	5771	19053
279	5792	19031
280	5811	19007
281	5831	18984
282	5852	18962
283	5871	18938
284	5891	18915
285	5913	18897
286	5933	18875
287	5953	18853
288	5974	18833
289	5995	18812
290	6015	18789
291	6034	18766
292	6054	18743
293	6076	18726
294	6096	18702
295	6116	18678
296	6136	18657
297	6156	18635
298	6183	18632
299	6202	18608
300	6222	18584
301	6241	18560
302	6261	18537
303	6282	18516
304	6301	18492
305	6321	18469
306	6341	18446
307	6361	18422
308	6381	18400
309	6401	18379
310	6421	18357
311	6441	18334
312	6461	18311
313	6482	18290
314	6501	18267
315	6521	18244
316	6541	18221
317	6561	18199
318	6582	18179
319	6602	18156
320	6622	18134
321	6642	18111
322	6662	18088
323	6681	18064
324	6711	18070
325	6731	18047
326	6751	18023
327	6771	18002
328	6791	17981
329	6813	17961
330	6832	17937
331	6852	17915
332	6872	17893
333	6892	17871
334	6912	17849
335	6932	17825
336	6952	17803
337	6971	17778
338	6990	17755
339	7010	17732
340	7030	17710
341	7050	17687
342	7069	17664
343	7090	17643
344	7110	17620
345	7129	17597
346	7149	17574
347	7169	17552
348	7189	17529
349	7209	17509
350	7229	17486
351	7248	17463
352	7269	17441
353	7288	17418
354	7308	17397
355	7329	17377
356	7356	17370
357	7376	17348
358	7395	17325
359	7416	17305
360	7436	17282
361	7455	17259
362	7475	17236
363	7494	17213
364	7514	17190
365	7534	17168
366	7554	17147
367	7574	17124
368	7594	17102
369	7614	17080
370	7634	17060
371	7655	17038
372	7674	17015
373	7693	16992
374	7713	16969
375	7734	16951
376	7756	16932
377	7776	16911
378	7797	16890
379	7816	16867
380	7836	16846
381	7856	16823
382	7876	16801
383	7896	16779
384	7916	16757
385	7936	16736
386	7956	16714
387	7976	16692
388	7996	16670
389	8015	16648
390	8035	16626
391	8055	16604
392	8075	16581
393	8096	16562
394	8115	16539
395	8135	16518
396	8155	16495
397	8175	16473
398	8194	16451
399	8214	16428
400	8233	16406
401	8254	16385
402	8274	16363
403	8294	16341
404	8313	16319
405	8333	16298
406	8353	16276
407	8373	16254
408	8393	16233
409	8413	16211
410	8433	16189
411	8453	16168
412	8473	16146
413	8492	16124
414	8512	16101
415	8532	16080
416	8552	16059
417	8572	16037
418	8592	16016
419	8612	15994
420	8632	15973
421	8652	15951
422	8672	15930
423	8692	15909
424	8712	15887
425	8731	15864
426	8751	15842
427	8772	15822
428	8793	15803
429	8813	15781
430	8832	15759
431	8852	15737
432	8873	15718
433	8893	15697
434	8913	15675
435	8934	15655
436	8953	15632
437	8973	15612
438	8993	15590
439	9014	15570
440	9034	15549
441	9055	15529
442	9076	15509
443	9096	15488
444	9115	15466
445	9135	15443
446	9155	15423
447	9176	15403
448	9197	15383
449	9217	15362
450	9237	15342
451	9257	15320
452	9278	15300
453	9299	15279
454	9320	15260
455	9340	15239
456	9359	15217
457	9379	15196
458	9399	15174
459	9420	15154
460	9440	15133
461	9460	15112
462	9480	15091
463	9501	15070
464	9521	15049
465	9541	15028
466	9561	15008
467	9581	14987
468	9603	14968
469	9623	14947
470	9643	14925
471	9663	14904
472	9682	14882
473	9702	14860
474	9722	14839
475	9742	14818
476	9762	14797
477	9782	14776
478	9803	14755
479	9822	14734
480	9843	14713
481	9862	14691
482	9882	14670
483	9902	14649
484	9923	14628
485	9943	14607
486	9962	14585
487	9982	14564
488	10003	14544
489	10023	14523
490	10043	14502
491	10063	14481
492	10082	14459
493	10103	14438
494	10123	14418
495	10143	14397
496	10164	14377
497	10184	14355
498	10203	14334
499	10223	14313
500	10243	14291
501	10264	14271
502	10283	14250
503	10304	14229
504	10324	14208
505	10343	14186
506	10363	14165
507	10383	14144
508	10403	14123
509	10423	14102
510	10443	14081
511	10463	14060
512	10483	14039
513	10502	14017
514	10522	13995
515	10542	13974
516	10561	13952
517	10581	13931
518	10601	13910
519	10621	13889
520	10641	13868
521	10661	13847
522	10681	13826
523	10700	13805
524	10720	13783
525	10740	13762
526	10760	13741
527	10781	13721
528	10802	13702
529	10823	13682
530	10843	13661
531	10864	13641
532	10884	13621
533	10904	13600
534	10925	13580
535	10947	13561
536	10967	13540
537	10997	13532
538	11036	13534
539	11065	13523
540	11085	13503
541	11106	13483
542	11129	13466
543	11150	13446
544	11170	13425
545	11191	13404
546	11212	13384
547	11234	13366
548	11259	13351
549	11280	13330
550	11300	13310
551	11321	13289
552	11342	13270
553	11363	13250
554	11384	13230
555	11406	13212
556	11429	13194
557	11450	13173
558	11470	13153
559	11492	13134
560	11513	13114
561	11534	13093
562	11558	13077
563	11578	13056
564	11600	13037
565	11621	13017
566	11642	12997
567	11663	12977
568	11684	12957
569	11705	12937
570	11726	12917
571	11747	12897
572	11767	12876
573	11790	12858
574	11811	12838
575	11831	12817
576	11851	12795
577	11871	12775
578	11892	12754
579	11912	12734
580	11932	12713
581	11953	12692
582	11973	12671
583	11994	12651
584	12015	12631
585	12038	12614
586	12060	12594
587	12080	12573
588	12100	12552
589	12121	12531
590	12141	12511
591	12162	12490
592	12181	12469
593	12201	12448
594	12222	12427
595	12242	12406
596	12262	12385
597	12281	12364
598	12301	12342
599	12322	12322
600	12357	12316
601	12376	12294
602	12397	12273
603	12417	12252
604	12439	12233
605	12458	12212
606	12477	12189
607	12497	12168
608	12517	12147
609	12537	12126
610	12557	12105
611	12576	12083
612	12596	12061
613	12615	12040
614	12636	12019
615	12655	11998
616	12675	11976
617	12694	11955
618	12714	11933
619	12734	11912
620	12754	11891
621	12774	11870
622	12794	11849
623	12813	11828
624	12834	11808
625	12855	11787
626	12875	11766
627	12894	11744
628	12914	11723
629	12935	11703
630	12954	11682
631	12974	11660
632	12994	11639
633	13014	11618
634	13034	11597
635	13054	11576
636	13073	11554
637	13093	11533
638	13113	11512
639	13132	11491
640	13153	11470
641	13175	11451
642	13196	11431
643	13215	11409
644	13235	11388
645	13256	11368
646	13276	11347
647	13296	11326
648	13316	11305
649	13336	11284
650	13356	11263
651	13376	11242
652	13396	11221
653	13415	11200
654	13435	11179
655	13455	11158
656	13475	11137
657	13495	11116
658	13515	11095
659	13534	11074
660	13556	11054
661	13576	11033
662	13597	11013
663	13618	10992
664	13637	10971
665	13657	10950
666	13678	10930
667	13698	10909
668	13717	10888
669	13737	10867
670	13757	10846
671	13777	10825
672	13797	10804
673	13817	10783
674	13837	10762
675	13858	10742
676	13879	10722
677	13899	10701
678	13919	10680
679	13939	10659
680	13959	10638
681	13979	10618
682	14000	10597
683	14020	10576
684	14039	10555
685	14059	10534
686	14079	10513
687	14099	10492
688	14119	10471
689	14139	10450
690	14159	10429
691	14178	10408
692	14197	10387
693	14217	10365
694	14237	10345
695	14258	10324
696	14280	10305
697	14305	10288
698	14325	10267
699	14344	10246
700	14364	10224
701	14384	10204
702	14404	10183
703	14425	10163
704	14445	10142
705	14464	10121
706	14485	10101
707	14505	10080
708	14526	10059
709	14545	10038
710	14566	10018
711	14585	9997
712	14605	9976
713	14625	9955
714	14645	9934
715	14664	9912
716	14684	9891
717	14704	9871
718	14725	9850
719	14745	9830
720	14764	9809
721	14784	9788
722	14804	9767
723	14825	9746
724	14845	9726
725	14864	9705
726	14885	9684
727	14905	9663
728	14926	9643
729	14946	9623
730	14967	9603
731	14987	9582
732	15008	9562
733	15029	9541
734	15051	9522
735	15073	9502
736	15093	9482
737	15115	9462
738	15136	9442
739	15156	9421
740	15178	9401
741	15198	9380
742	15217	9360
743	15237	9339
744	15257	9318
745	15277	9297
746	15297	9276
747	15317	9256
748	15337	9235
749	15357	9214
750	15377	9193
751	15397	9173
752	15417	9152
753	15437	9131
754	15457	9110
755	15477	9090
756	15497	9069
757	15517	9048
758	15537	9027
759	15558	9007
760	15579	8987
761	15598	8966
762	15619	8945
763	15639	8924
764	15659	8904
765	15679	8883
766	15699	8862
767	15720	8842
768	15740	8822
769	15760	8801
770	15780	8780
771	15800	8759
772	15819	8738
773	15838	8717
774	15859	8697
775	15879	8676
776	15899	8655
777	15919	8634
778	15939	8614
779	15960	8593
780	15981	8573
781	16001	8553
782	16021	8532
783	16042	8512
784	16064	8492
785	16085	8472
786	16105	8451
787	16126	8431
788	16146	8410
789	16167	8390
790	16189	8371
791	16210	8350
792	16231	8330
793	16252	8310
794	16274	8290
795	16295	8270
796	16316	8250
797	16337	8230
798	16359	8210
799	16380	8190
800	16400	8169
801	16420	8148
802	16440	8128
