cstno,is_churned,age,sex,dependent_num,education,marital_stat,imcome_cat,card_type,mon_on_book,tot_product_count,months_inact_for_12m,contact_cnt_for_12m,credit_line,tot_revol_balance,mean_open_to_buy,tot_amt_ratio_q4_q1,tot_trans_amt_for_12m,tot_trans_cnt_for_12m,tot_cnt_ratio_q4_q1,mean_util_pct
708082083,0,45,F,3,High School,Married,Less than $40K,Blue,36,4,3,3,3544,,1883,0.831,,111,0.734,0.469
708083283,1,58,M,0,Unknown,Single,$40K - $60K,Blue,45,3,1,3,3421,2517,904,0.992,992,21,0.4,
708084558,1,46,M,3,Doctorate,Divorced,$80K - $120K,Blue,38,6,3,3,8258,1771,6487,,1447,23,0,0.214
708085458,0,34,F,2,Uneducated,Single,Less than $40K,Blue,24,6,2,2,1438.3,0,1438.3,0.827,3940,82,0.952,0
708086958,0,49,F,2,Uneducated,Married,Unknown,Blue,41,3,5,2,3128,749,2379,0.598,,,,0.239
708098133,0,32,F,0,Graduate,Married,Less than $40K,Blue,19,6,1,0,2834,,1416,1.458,1598,,0.773,0.5
708099183,0,37,F,2,High School,Single,Less than $40K,Blue,36,4,2,2,5723,1873,3850,,2732,,0.853,0.327
708100533,0,55,F,3,College,Single,Less than $40K,Blue,36,3,3,3,2679,2277,402,0.736,,,0.735,
708103608,0,52,M,1,High School,Single,$60K - $80K,Blue,45,1,5,1,11898,2517,9381,0.745,,128,0.73,0.212
708104658,0,46,M,1,Graduate,Unknown,$40K - $60K,Blue,36,4,3,2,1438.3,890,548.3,1.143,2928,48,1.4,
708108333,1,47,F,3,Graduate,Married,Unknown,Blue,36,3,3,1,5590,,5590,0.01,1507,32,0,0
708113208,0,53,F,1,High School,Married,Less than $40K,Blue,36,3,2,2,1688,0,1688,,4375,,0.605,0
708117933,1,44,F,2,Graduate,Divorced,,Blue,36,3,2,3,1880,0,1880,0.519,,34,0.417,
708119658,0,49,F,4,Graduate,Married,$40K - $60K,Blue,38,4,2,1,12836,1034,11802,0.663,,53,,
708121908,1,48,,4,Unknown,Married,$80K - $120K,Blue,36,2,3,2,22917,,22917,0.574,2045,,,0
708123033,0,41,F,3,Graduate,Single,Less than $40K,Silver,30,2,1,1,11463,0,11463,0.908,14511,105,0.721,
708125733,0,46,F,2,College,Divorced,Less than $40K,Blue,36,4,3,1,1438.3,0,1438.3,0.906,4311,77,0.833,0
708128733,0,50,F,3,Post-Graduate,Single,Unknown,Blue,36,5,4,3,1814,0,1814,0.852,5014,99,0.623,0
708129933,0,45,F,4,Graduate,Single,,Blue,36,5,3,2,2072,,528,0.903,4210,64,0.939,
708132783,0,47,F,3,Uneducated,Single,Unknown,Blue,42,6,2,2,16411,1179,15232,0.849,3929,71,,0.072
708134283,0,35,M,2,Uneducated,Married,Less than $40K,Blue,36,4,3,3,3131,629,2502,0.749,1483,31,0.632,
708136908,0,62,F,0,Graduate,Single,Less than $40K,Blue,53,5,2,2,2616,801,1815,0.719,4655,68,0.511,0.306
708139833,1,40,M,3,Graduate,Unknown,$60K - $80K,Blue,30,4,2,3,6391,0,6391,0.632,2323,44,,0
708145908,0,61,F,0,Graduate,Married,$40K - $60K,Blue,50,3,3,0,4906,2185,2721,0.66,3999,71,1.088,0.445
