ÀÏÀÚ,Æò±Õ±â¿Â(¼·¾¾),ÃÖ´ë±â¿Â(¼·¾¾),ÃÖ¼Ò±â¿Â(¼·¾¾),Æò±Õ ÁöÇ¥¿Âµµ(¼·¾¾),ÃÖ´ë ÁöÇ¥¿Âµµ(¼·¾¾),ÃÖ¼Ò ÁöÇ¥¿Âµµ(¼·¾¾),½Àµµ(ÆÛ¼¾Æ®),ÀÏ»ç·®(¼öÆò¸éÀûÀÏ»ç·®),Ç³¼Ó(¹ÌÅÍ ¸Å ÃÊ)
2020-01-01,0.431,4.113,-0.68,5.631,7.935,4.35,81.9,131.5,7.979
2020-01-02,2.498,5.519,-0.173,4.282,4.919,3.759,84.4,152.4,4.276
2020-01-03,5.306,8.16,-0.011,4.122,4.776,3.264,89.4,130.1,2.553
2020-01-04,6.522,10.72,2.761,4.615,5.759,3.787,89.4,145.7,3.424
2020-01-05,5.999,11.05,2.491,4.647,5.816,3.591,84.3,168.1,4.377
2020-01-06,6.851,12.77,2.017,4.899,6.581,3.448,77.62,162.6,1.306
2020-01-07,12.73,16.48,8.36,6.626,8.25,5.858,92.3,118.1,0.652
2020-01-08,16.65,18.6,11.33,10.62,12.95,8.24,96.9,127.1,2.102
2020-01-09,5.964,11.43,4.315,8.47,12.35,6.564,91,122,9.29
2020-01-10,4.833,6.138,3.708,6.335,6.699,5.912,89,130.7,5.543
2020-01-11,6.001,11.45,1.544,6.46,7.76,5.342,83,170.9,2.373
2020-01-12,5.816,7.513,4.519,6.767,7.209,6.381,82.2,136.5,4.268
2020-01-13,4.807,7.22,3.843,6.041,6.593,5.548,81,127.7,6.4
2020-01-14,4.563,6.814,2.626,5.478,6.036,4.966,77.03,136.7,3.977
2020-01-15,1.782,3.37,0.165,4.069,5.598,3.405,97,128.9,2.24
2020-01-16,2.48,4.181,0.199,3.267,3.405,3.137,90.9,136.8,2.839
2020-01-17,3.44,5.658,1.818,3.422,4.119,3.056,81.9,151.3,2.917
2020-01-18,4.177,7.072,2.288,3.965,4.899,3.369,77.27,168.9,4.87
2020-01-19,4.249,7.14,2.524,3.974,4.709,3.326,78.76,164.1,6.251
2020-01-20,5.46,7.281,2.085,3.749,4.138,3.321,82.3,121.6,3.36
2020-01-21,5.815,8.42,3.707,4.137,4.919,3.729,70.97,156.5,5.348
2020-01-22,4.997,10.98,0.537,3.989,5.673,2.737,78.82,180.6,2.379
2020-01-23,10.45,13.92,7.146,5.253,6.751,4.508,97.4,118.9,0.158
2020-01-24,10.42,13.15,7.615,7.53,8.51,6.741,99.4,145,3.214
